Nombre,Puntaje,Fecha
MAGALY,62387,"02/05/2026, 12:00:00 AM"
DIEGO,588642,"01/16/2026, 12:00:00 AM"
VALERIA,531224,"02/06/2026, 12:00:00 AM"
DIEGO,483524,"01/24/2026, 12:00:00 AM"
EDWIN,626491,"01/29/2026, 12:00:00 AM"
VALERIA,940,"01/01/2026, 12:00:00 AM"
VALERIA,47373,"01/29/2026, 12:00:00 AM"
DIEGO,758,"02/13/2026, 12:00:00 AM"
EDWIN,452387,"01/29/2026, 12:00:00 AM"
EDWIN,726,"02/13/2026, 12:00:00 AM"
SEBAS,199361,"02/24/2026, 12:00:00 AM"
EVELYN,118393,"01/10/2026, 12:00:00 AM"
EVELYN,725069,"02/24/2026, 12:00:00 AM"
VALERIA,701444,"03/01/2026, 12:00:00 AM"
DIEGO,915417,"01/06/2026, 12:00:00 AM"
EDWIN,202575,"01/13/2026, 12:00:00 AM"
SEBAS,1042,"01/16/2026, 12:00:00 AM"
DIEGO,529604,"01/14/2026, 12:00:00 AM"
DANIELA,895813,"01/17/2026, 12:00:00 AM"
VALERIA,847,"01/29/2026, 12:00:00 AM"
CHOCHO,531008,"01/30/2026, 12:00:00 AM"
EDWIN,39279,"02/24/2026, 12:00:00 AM"
CARO,44968,"01/03/2026, 12:00:00 AM"
CHOCHO,607027,"01/09/2026, 12:00:00 AM"
DANIELA,1079,"01/09/2026, 12:00:00 AM"
DANIELA,242337,"03/01/2026, 12:00:00 AM"
CARO,93357,"01/17/2026, 12:00:00 AM"
CARO,36741,"02/20/2026, 12:00:00 AM"
VALERIA,894,"01/06/2026, 12:00:00 AM"
DIEGO,247459,"02/02/2026, 12:00:00 AM"
MAGALY,120550,"02/05/2026, 12:00:00 AM"
CHOCHO,807651,"02/22/2026, 12:00:00 AM"
EVELYN,197773,"01/03/2026, 12:00:00 AM"
CHOCHO,302739,"02/10/2026, 12:00:00 AM"
VALERIA,89370,"01/02/2026, 12:00:00 AM"
DIEGO,820,"01/25/2026, 12:00:00 AM"
SEBAS,1014451,"01/11/2026, 12:00:00 AM"
SEBAS,1221,"02/03/2026, 12:00:00 AM"
CARO,48285,"01/29/2026, 12:00:00 AM"
MAGALY,91196,"02/28/2026, 12:00:00 AM"
